-15.029,-12.557,2.175
-15.08,-13.009,2.175
-15.221,-13.46,2.175
-15.445,-13.876,2.175
-15.744,-14.242,2.175
-16.108,-14.544,2.175
-16.501,-14.76,2.175
-16.681,-14.831,2.175
-17.126,-14.945,2.175
-17.599,-14.971,2.175
-18.067,-14.907,2.175
-18.514,-14.756,2.175
-18.925,-14.522,2.175
-19.283,-14.214,2.175
-19.577,-13.843,2.175
-19.794,-13.424,2.175
-19.928,-12.97,2.175
-19.972,-12.511,2.175
-19.951,-12.186,2.175
-19.889,-11.865,2.175
-19.731,-11.432,2.175
-19.487,-11.027,2.175
-19.171,-10.676,2.175
-18.793,-10.392,2.175
-18.369,-10.184,2.175
-17.912,-10.061,2.175
-17.441,-10.027,2.175
-16.972,-10.084,2.175
-16.522,-10.228,2.175
-16.108,-10.456,2.175
-15.744,-10.758,2.175
-15.445,-11.124,2.175
-15.221,-11.54,2.175
-15.083,-11.98,2.175
-15.066,-12.1,2.175
