-12.449,-14.058,0.675
-12.623,-14.563,0.675
-14.745,-12.441,0.675
-14.741,-12.589,0.675
-14.798,-13.066,0.675
-12.77,-15.094,0.675
-12.892,-15.652,0.675
-14.96,-13.584,0.675
-15.199,-14.023,0.675
-13.089,-16.134,0.675
-13.166,-16.223,0.675
-13.323,-16.353,0.675
-13.469,-16.433,0.675
-15.502,-14.399,0.675
-15.865,-14.715,0.675
-14.088,-16.492,0.675
-14.767,-16.492,0.675
-16.288,-14.971,0.675
-16.396,-15.029,0.675
-16.606,-15.111,0.675
-16.783,-15.155,0.675
-15.446,-16.492,0.675
-16.124,-16.492,0.675
-17.228,-15.388,0.675
