-18.442	-4.786	0.975
-18.793	-4.607	0.975
-19.099	-4.384	0.975
-19.247	-4.246	0.975
-19.396	-4.085	0.975
-19.618	-3.776	0.975
-19.793	-3.423	0.975
-19.911	-3.047	0.975
-19.965	-2.672	0.975
-19.97	-2.47	0.975
-19.959	-2.251	0.975
-19.892	-1.876	0.975
-19.763	-1.504	0.975
-19.576	-1.157	0.975
-19.336	-0.845	0.975
-19.05	-0.574	0.975
-18.737	-0.361	0.975
-18.557	-0.267	0.975
-18.355	-0.182	0.975
-17.99	-0.077	0.975
-17.599	-0.03	0.975
-17.205	-0.045	0.975
-16.819	-0.123	0.975
-16.45	-0.262	0.975
-16.121	-0.45	0.975
-15.958	-0.57	0.975
-15.793	-0.713	0.975
-15.538	-0.996	0.975
-15.324	-1.327	0.975
-15.165	-1.687	0.975
-15.069	-2.054	0.975
-15.042	-2.255	0.975
-15.029	-2.474	0.975
-15.053	-2.854	0.975
-15.14	-3.238	0.975
-15.287	-3.603	0.975
-15.483	-3.928	0.975
-15.607	-4.087	0.975
-15.755	-4.25	0.975
-16.044	-4.498	0.975
-16.365	-4.695	0.975
-16.538	-4.776	0.975
-16.895	-4.897	0.975
-17.269	-4.96	0.975
-17.471	-4.97	0.975
-17.69	-4.964	0.975
-17.869	-4.937	0.975
