16.344	-4.686	1.575
15.949	-4.427	1.575
15.611	-4.097	1.575
15.342	-3.708	1.575
15.151	-3.276	1.575
15.053	-2.843	1.575
15.04	-2.725	1.575
15.029	-2.494	1.575
15.049	-2.174	1.575
15.151	-1.724	1.575
15.342	-1.292	1.575
15.611	-0.903	1.575
15.949	-0.573	1.575
16.344	-0.314	1.575
16.781	-0.134	1.575
17.244	-0.04	1.575
17.705	-0.036	1.575
18.028	-0.086	1.575
18.342	-0.176	1.575
18.759	-0.371	1.575
19.141	-0.65	1.575
19.463	-0.996	1.575
19.713	-1.397	1.575
19.883	-1.838	1.575
19.962	-2.286	1.575
19.971	-2.545	1.575
19.945	-2.865	1.575
19.836	-3.313	1.575
19.639	-3.742	1.575
19.363	-4.126	1.575
19.02	-4.451	1.575
18.621	-4.705	1.575
18.181	-4.878	1.575
17.717	-4.964	1.575
17.244	-4.96	1.575
16.977	-4.906	1.575
